procedure_area,property_type_id,property_sub_type_id,area_id,property_total_value,row_status,property_category,Year,Month
4878.43,1,63.0,409.0,16803520.0,1,2,2012,8
9313.15,1,63.0,466.0,35086100.0,1,2,2012,8
88.35,3,60.0,330.0,900000.0,1,2,2012,8
3716.12,1,65.0,376.0,7164000.0,1,1,2012,8
940.64,1,63.0,232.0,2531250.0,1,2,2012,11
66.0,3,23.0,343.0,649308.0,1,1,2012,3
69.0,3,23.0,343.0,638890.0,1,1,2012,3
44.0,3,23.0,343.0,483795.0,1,1,2012,3
48.0,3,23.0,343.0,527781.0,1,1,2012,3
43.0,3,23.0,343.0,472803.0,1,1,2012,3
473.34,1,63.0,230.0,800000.0,1,2,2012,3
106.34,3,60.0,410.0,1100000.0,1,2,2012,1
969.26,1,63.0,266.0,3000000.0,1,2,2012,1
258.36,1,63.0,317.0,1500000.0,1,2,2012,1
1393.55,1,63.0,310.0,2300000.0,1,2,2012,1
206.71,1,63.0,276.0,1112500.0,1,2,2012,1
106.34,3,60.0,410.0,1100000.0,1,2,2012,1
1596.07,1,63.0,358.0,3436000.0,1,2,2012,3
390.94,1,63.0,233.0,1893600.0,1,2,2012,4
67.68,3,60.0,330.0,580000.0,1,2,2012,8
74.16,3,60.0,330.0,630000.0,1,2,2012,8
63.06,3,60.0,330.0,550000.0,1,2,2012,8
64.13,3,60.0,330.0,550000.0,1,2,2012,8
64.52,3,60.0,330.0,550000.0,1,2,2012,8
74.16,3,60.0,330.0,630000.0,1,2,2012,8
62.98,3,60.0,330.0,550000.0,1,2,2012,8
12259.66,1,63.0,364.0,46186700.0,1,2,2012,10
1410.36,1,63.0,396.0,2396960.0,1,2,2012,10
188.79,3,60.0,330.0,1300000.0,1,2,2012,10
71.26,3,60.0,330.0,1100000.0,1,2,2012,11
728.45,1,63.0,304.0,6272800.0,1,2,2012,4
343.93,3,42.0,526.0,2500000.0,1,3,2012,4
918.1,1,63.0,393.0,2964600.0,1,2,2012,4
657.29,1,63.0,356.0,31837500.0,1,2,2012,4
163.31,3,42.0,350.0,900000.0,1,3,2012,4
2340.0,1,63.0,441.0,4155942.45,1,2,2012,4
271.1,3,60.0,330.0,3000000.0,1,2,2012,4
410.56,3,42.0,526.0,2650575.0,1,3,2012,4
3901.93,1,65.0,373.0,7560000.0,1,1,2012,4
9666.46,1,65.0,373.0,20800000.0,1,1,2012,4
510.97,1,65.0,363.0,1100000.0,1,1,2012,4
2219.27,1,65.0,248.0,4057390.0,1,1,2012,4
23225.75,1,65.0,395.0,24790200.0,1,1,2012,4
